"","X","Category","ProductName","Reviewer","Verified","DateOfReview","Rating"
"1",1,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","joe c","verified purchase","reviewed in australia on 29 february 2024",4
"2",2,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","saeid ahmadlou","verified purchase","reviewed in australia on 28 october 2020",5
"3",3,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","bev","verified purchase","reviewed in australia on 22 january 2021",5
"4",4,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","michael","verified purchase","reviewed in australia on 25 november 2023",5
"5",5,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","anna","verified purchase","reviewed in australia on 4 september 2023",2
"6",6,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","nicole veit","verified purchase","reviewed in germany on 7 august 2023",2
"7",7,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","nicole veit","verified purchase","reviewed in spain on 27 november 2023",5
"8",8,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","velina","verified purchase","reviewed in the united states on 16 february 2024",5
"9",9,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","velina","verified purchase","reviewed in mexico on 11 august 2023",5
"10",10,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","steven mccall","verified purchase","reviewed in france on 24 june 2023",5
"11",11,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","logan ford","verified purchase","reviewed in the united kingdom on 31 january 2021",4
"12",12,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","decide","verified purchase","reviewed in italy on 29 february 2024",5
"13",13,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","deepali","verified purchase","reviewed in india on 15 september 2020",5
"14",14,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","deepali","verified purchase","reviewed in japan on 18 february 2024",5
"15",15,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","睦月","verified purchase","reviewed in canada on 21 february 2024",5
"16",16,"headset","bengoo g9000 stereo gaming headset for ps4 pc xbox one ps5 controller, noise cancelling over ear headphones with mic, led light, bass surround, soft memory earmuffs (blue)","andre pelletier","verified purchase","reviewed in germany on 21 november 2023",5
